TIMESTAMP: 11.900000, X: 8.960389, Y: 10.439111, Z: -5.251327, PITCH: 0.344711, YAW: 1.555818
TIMESTAMP: 12.000000, X: 8.953013, Y: 10.368438, Z: -5.117688, PITCH: 0.337940, YAW: 1.551399
TIMESTAMP: 12.100000, X: 8.943218, Y: 10.295671, Z: -4.978338, PITCH: 0.331165, YAW: 1.546974
TIMESTAMP: 12.200000, X: 8.931029, Y: 10.220905, Z: -4.833675, PITCH: 0.324403, YAW: 1.542571
TIMESTAMP: 12.300000, X: 8.916489, Y: 10.144243, Z: -4.684108, PITCH: 0.317646, YAW: 1.538174
TIMESTAMP: 12.400000, X: 8.899652, Y: 10.065791, Z: -4.530053, PITCH: 0.310878, YAW: 1.533761
TIMESTAMP: 12.500000, X: 8.880588, Y: 9.985659, Z: -4.371932, PITCH: 0.304100, YAW: 1.529342
TIMESTAMP: 12.600000, X: 8.859385, Y: 9.903965, Z: -4.210170, PITCH: 0.297337, YAW: 1.524936
TIMESTAMP: 12.700000, X: 8.836145, Y: 9.820832, Z: -4.045193, PITCH: 0.290591, YAW: 1.520542
TIMESTAMP: 12.800000, X: 8.810986, Y: 9.736389, Z: -3.877427, PITCH: 0.283821, YAW: 1.516129
TIMESTAMP: 12.900000, X: 8.784046, Y: 9.650769, Z: -3.707293, PITCH: 0.277019, YAW: 1.511696
TIMESTAMP: 13.000000, X: 8.755477, Y: 9.564113, Z: -3.535208, PITCH: 0.270263, YAW: 1.507294
TIMESTAMP: 13.100000, X: 8.725451, Y: 9.476567, Z: -3.361583, PITCH: 0.263562, YAW: 1.502928
TIMESTAMP: 13.200000, X: 8.694155, Y: 9.388282, Z: -3.186817, PITCH: 0.256779, YAW: 1.498508
TIMESTAMP: 13.300000, X: 8.661794, Y: 9.299416, Z: -3.011301, PITCH: 0.249901, YAW: 1.494026
TIMESTAMP: 13.400000, X: 8.628590, Y: 9.210131, Z: -2.835414, PITCH: 0.243171, YAW: 1.489640
TIMESTAMP: 13.500000, X: 8.594779, Y: 9.120594, Z: -2.659520, PITCH: 0.236511, YAW: 1.485301
TIMESTAMP: 13.600000, X: 8.560616, Y: 9.030977, Z: -2.483969, PITCH: 0.229291, YAW: 1.480596
TIMESTAMP: 13.700000, X: 8.526366, Y: 8.941458, Z: -2.309094, PITCH: 0.221378, YAW: 1.475439
TIMESTAMP: 13.800000, X: 8.492312, Y: 8.852216, Z: -2.135213, PITCH: 0.213410, YAW: 1.470247
TIMESTAMP: 13.900000, X: 8.458745, Y: 8.763434, Z: -1.962624, PITCH: 0.205732, YAW: 1.465244
TIMESTAMP: 14.000000, X: 8.425970, Y: 8.675301, Z: -1.791608, PITCH: 0.198094, YAW: 1.460266
TIMESTAMP: 14.100000, X: 8.394300, Y: 8.588003, Z: -1.622427, PITCH: 0.190309, YAW: 1.455193
TIMESTAMP: 14.200000, X: 8.364056, Y: 8.501731, Z: -1.455324, PITCH: 0.182502, YAW: 1.450108
