TIMESTAMP: 17.000000, X: 8.662539, Y: -0.279364, Z: -2.977668, PITCH: 0.337047, YAW: -3.134316
TIMESTAMP: 17.100000, X: 8.596755, Y: -0.428044, Z: -3.002252, PITCH: 0.339568, YAW: 3.129127
TIMESTAMP: 17.200000, X: 8.525569, Y: -0.573718, Z: -3.029130, PITCH: 0.342502, YAW: 3.109049
TIMESTAMP: 17.300000, X: 8.449051, Y: -0.716466, Z: -3.058327, PITCH: 0.347732, YAW: 3.087082
TIMESTAMP: 17.400000, X: 8.367288, Y: -0.856391, Z: -3.089849, PITCH: 0.355021, YAW: 3.063419
TIMESTAMP: 17.500000, X: 8.280385, Y: -0.993623, Z: -3.123677, PITCH: 0.362378, YAW: 3.039699
TIMESTAMP: 17.600000, X: 8.188465, Y: -1.128312, Z: -3.159774, PITCH: 0.368934, YAW: 3.016640
TIMESTAMP: 17.700000, X: 8.091671, Y: -1.260632, Z: -3.198079, PITCH: 0.375408, YAW: 2.993652
TIMESTAMP: 17.800000, X: 7.990161, Y: -1.390774, Z: -3.238514, PITCH: 0.382281, YAW: 2.970331
TIMESTAMP: 17.900000, X: 7.884115, Y: -1.518947, Z: -3.280977, PITCH: 0.389205, YAW: 2.946961
TIMESTAMP: 18.000000, X: 7.773729, Y: -1.645373, Z: -3.325350, PITCH: 0.395916, YAW: 2.923775
TIMESTAMP: 18.100000, X: 7.659217, Y: -1.770287, Z: -3.371495, PITCH: 0.402597, YAW: 2.900630
TIMESTAMP: 18.200000, X: 7.540809, Y: -1.893932, Z: -3.419257, PITCH: 0.409395, YAW: 2.877368
TIMESTAMP: 18.300000, X: 7.418755, Y: -2.016561, Z: -3.468465, PITCH: 0.416216, YAW: 2.854058
TIMESTAMP: 18.400000, X: 7.293316, Y: -2.138426, Z: -3.518932, PITCH: 0.422966, YAW: 2.830846
TIMESTAMP: 18.500000, X: 7.164772, Y: -2.259782, Z: -3.570461, PITCH: 0.429691, YAW: 2.807710
TIMESTAMP: 18.600000, X: 7.033415, Y: -2.380881, Z: -3.622837, PITCH: 0.436471, YAW: 2.784453
TIMESTAMP: 18.700000, X: 6.899551, Y: -2.501970, Z: -3.675839, PITCH: 0.443286, YAW: 2.761067
TIMESTAMP: 18.800000, X: 6.763497, Y: -2.623288, Z: -3.729235, PITCH: 0.450041, YAW: 2.737871
TIMESTAMP: 18.900000, X: 6.625582, Y: -2.745063, Z: -3.782783, PITCH: 0.456749, YAW: 2.714852
TIMESTAMP: 19.000000, X: 6.486143, Y: -2.867510, Z: -3.836238, PITCH: 0.463621, YAW: 2.691238
TIMESTAMP: 19.100000, X: 6.345525, Y: -2.990828, Z: -3.889347, PITCH: 0.470795, YAW: 2.666575
TIMESTAMP: 19.200000, X: 6.204081, Y: -3.115196, Z: -3.941854, PITCH: 0.478123, YAW: 2.641505
TIMESTAMP: 19.300000, X: 6.062168, Y: -3.240776, Z: -3.993502, PITCH: 0.485349, YAW: 2.616763
TIMESTAMP: 19.400000, X: 5.920145, Y: -3.367705, Z: -4.044032, PITCH: 0.492424, YAW: 2.592287
TIMESTAMP: 19.500000, X: 5.778374, Y: -3.496099, Z: -4.093186, PITCH: 0.499567, YAW: 2.567640
TIMESTAMP: 19.600000, X: 5.637216, Y: -3.626046, Z: -4.140707, PITCH: 0.506922, YAW: 2.542750
TIMESTAMP: 19.700000, X: 5.497030, Y: -3.757608, Z: -4.186341, PITCH: 0.514206, YAW: 2.517976
TIMESTAMP: 19.800000, X: 5.358172, Y: -3.890823, Z: -4.229839, PITCH: 0.521129, YAW: 2.493527
TIMESTAMP: 19.900000, X: 5.220992, Y: -4.025696, Z: -4.270956, PITCH: 0.528157, YAW: 2.468964
TIMESTAMP: 20.000000, X: 5.085833, Y: -4.162207, Z: -4.309456, PITCH: 0.535845, YAW: 2.443858
TIMESTAMP: 20.100000, X: 4.953028, Y: -4.300306, Z: -4.345107, PITCH: 0.543359, YAW: 2.418904
TIMESTAMP: 20.200000, X: 4.822900, Y: -4.439911, Z: -4.377688, PITCH: 0.549603, YAW: 2.394971
